subscription_id,user_id,type,start_time
1,2,"Week","2019-07-30 17:00:19"
2,4,"Day","2020-05-12 22:38:24"
3,10,"Year","2019-06-21 15:31:47"
4,2,"Year","2018-01-20 04:59:03"
5,15,"Week","2020-09-13 12:41:30"
6,20,"Day","2019-05-26 15:00:32"
7,5,"Day","2018-06-07 02:08:39"
8,19,"Day","2018-06-13 22:48:22"
9,11,"Week","2021-01-24 07:01:09"
10,20,"Year","2019-06-23 18:11:02"
11,6,"Year","2020-10-18 17:37:25"
12,9,"Year","2018-01-02 08:19:11"
13,12,"Year","2019-02-01 19:39:48"
14,19,"Year","2020-02-24 16:11:38"
15,14,"Month","2020-10-11 15:58:02"
16,3,"Month","2020-06-14 12:45:57"
17,16,"Month","2021-01-26 20:17:49"
18,18,"Month","2020-03-07 01:46:37"
19,4,"Week","2019-03-25 09:14:10"
20,17,"Week","2018-08-26 17:10:37"
21,17,"Week","2020-12-16 18:44:29"
22,8,"Day","2020-12-04 18:00:22"
23,8,"Week","2021-01-21 17:56:20"
24,3,"Year","2018-08-30 10:40:59"
25,12,"Month","2020-03-15 20:15:20"
26,9,"Month","2021-02-07 13:53:14"
27,16,"Month","2018-10-23 17:29:16"
28,5,"Month","2021-01-18 19:30:07"
29,15,"Month","2019-09-28 04:17:16"
30,11,"Week","2018-12-12 12:53:52"
31,3,"Week","2019-12-19 22:32:45"
32,5,"Week","2018-10-13 14:48:46"